,share_pv,storage_type,energy_stored
0,0,0,15464.497583533921
1,0,1,60319.24097916735
2,0,2,41181.49254417306
3,0,3,38323.86881675358
4,0.1,0,18383.09432676408
5,0.1,1,52221.822488797676
6,0.1,2,37514.245182330444
7,0.1,3,31619.411846938023
8,0.2,0,27454.087022136635
9,0.2,1,44392.62836879073
10,0.2,2,32323.195432284316
11,0.2,3,27318.53585423593
12,0.3,0,44312.5886890038
13,0.3,1,36446.16118949456
14,0.3,2,25841.133917119387
15,0.3,3,26028.901739568555
16,0.4,0,65074.80848653673
17,0.4,1,29595.76395058413
18,0.4,2,18348.682850705118
19,0.4,3,27455.293615115625
20,0.5,0,86283.63617070009
21,0.5,1,23376.218954163367
22,0.5,2,12850.105280388781
23,0.5,3,31097.218208468184
24,0.6,0,106533.03584848439
25,0.6,1,18163.17566449353
26,0.6,2,7974.521443800623
27,0.6,3,39572.72085134021
28,0.7,0,123476.434241007
29,0.7,1,15774.463723643268
30,0.7,2,6176.338800553905
31,0.7,3,50630.21479586349
32,0.8,0,139599.73042150895
33,0.8,1,16974.86920499913
34,0.8,2,5534.435074824714
35,0.8,3,62036.18273515014
36,0.9,0,153448.12225442333
37,0.9,1,20917.59377880673
38,0.9,2,5590.767381151519
39,0.9,3,73442.15067443678
40,1.0,0,165806.25117426808
41,1.0,1,26391.842024941732
42,1.0,2,6098.076344398751
43,1.0,3,84848.11861372342
