,grid_id,share_pv,storage_type,energy_stored
0,,0,0,3.089161620445141
1,,0,1,12.049268539162226
2,,0,2,8.226344603368348
3,,0,3,7.655510569043364
4,,0.1,0,3.6721755202528357
5,,0.1,1,10.431742053738791
6,,0.1,2,7.493781534850341
7,,0.1,3,6.316239697474106
8,,0.2,0,5.484181525783836
9,,0.2,1,8.867795610351434
10,,0.2,2,6.456826304262157
11,,0.2,3,5.457104056035888
12,,0.3,0,8.851807020642982
13,,0.3,1,7.2804229009692385
14,,0.3,2,5.161980768812431
15,,0.3,3,5.199488948275185
16,,0.4,0,12.999232580854963
17,,0.4,1,5.911999250544408
18,,0.4,2,3.6653015425778417
19,,0.4,3,5.484422552736187
20,,0.5,0,17.235871769593476
21,,0.5,1,4.6695935664417325
22,,0.5,2,2.5669150799391955
23,,0.5,3,6.211927188277606
24,,0.6,0,21.280857258696628
25,,0.6,1,3.6282449439482307
26,,0.6,2,1.5929767813366105
27,,0.6,3,7.904979118152104
28,,0.7,0,24.665441578449993
29,,0.7,1,3.1510799271014696
30,,0.7,2,1.2337748882222161
31,,0.7,3,10.11380521982233
32,,0.8,0,27.886203681249228
33,,0.8,1,3.390870875494447
34,,0.8,2,1.1055492964865539
35,,0.8,3,12.392241891414493
36,,0.9,0,30.652534777622876
37,,0.9,1,4.178462801297514
38,,0.9,2,1.1168021417701415
39,,0.9,3,14.670678563006653
40,,1.0,0,33.12117350018612
41,,1.0,1,5.2719892796976575
42,,1.0,2,1.218141313670548
43,,1.0,3,16.949115234598814
